method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant,pool,code_seed
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,9,500,0.5,True,True,False,0.5,0.003870833999826573,7,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,10,500,0.5,True,True,False,0.5,0.003269064000051003,5,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,10,500,0.5,True,True,False,0.5,0.0029038030006631743,4,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,10,600,0.6,True,True,False,0.4,0.003282768999270047,4,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,10,500,0.5,True,True,False,0.5,0.0032412589989689877,5,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,11,500,0.5,True,True,False,0.5,0.005054807999840705,11,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,11,500,0.5,True,True,False,0.5,0.004120343999602483,8,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,11,600,0.6,True,True,False,0.4,0.0037995780003257096,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,11,500,0.5,True,True,False,0.5,0.00413834000028146,8,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,12,500,0.5,False,False,False,0.0,0.03858902100000705,120,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,12,500,0.5,True,True,False,0.5,0.006652423000559793,16,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,12,600,0.6,True,True,False,0.4,0.004932764000841416,9,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,12,500,0.5,True,True,False,0.5,0.0065919659991777735,16,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,13,500,0.5,True,True,False,0.5,0.004752728000312345,10,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,13,500,0.5,True,True,False,0.5,0.004741376000310993,10,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,13,600,0.6,True,True,False,0.4,0.0035799039997073123,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,13,500,0.5,True,True,False,0.5,0.004467854001632077,9,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,14,500,0.5,True,True,False,0.5,0.003825019999567303,7,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,14,500,0.5,True,True,False,0.5,0.00412048600082926,8,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,14,600,0.6,True,True,False,0.4,0.0035917879995395197,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,14,500,0.5,True,True,False,0.5,0.003857309000522946,7,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,15,500,0.5,True,True,False,0.5,0.004461995000383467,9,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,15,500,0.5,True,True,False,0.5,0.003531522999765002,6,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,15,600,0.6,True,True,False,0.4,0.003966906000641757,6,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,15,500,0.5,True,True,False,0.5,0.0038136669991217786,7,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,16,500,0.5,True,True,False,0.5,0.005399306999606779,12,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,16,500,0.5,True,True,False,0.5,0.0044355909994919784,9,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,16,600,0.6,True,True,False,0.4,0.0036306730016804067,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,16,500,0.5,True,True,False,0.5,0.004507657000431209,9,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,17,500,0.5,True,True,False,0.5,0.005079131000456982,11,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,17,500,0.5,True,True,False,0.5,0.003896008000083384,7,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,17,600,0.6,True,True,False,0.4,0.003590260999771999,5,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,17,500,0.5,True,True,False,0.5,0.005351615000108723,12,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,18,500,0.5,True,True,False,0.5,0.0035195679993194062,6,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,18,500,0.5,True,True,False,0.5,0.0032503639995411504,5,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,18,600,0.6,True,True,False,0.4,0.003336718998980359,4,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,18,500,0.5,True,True,False,0.5,0.0032242470006167423,5,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,19,500,0.5,True,True,False,0.5,0.006584974000361399,16,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,19,500,0.5,True,True,False,0.5,0.006614071000512922,16,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,19,600,0.6,True,True,False,0.4,0.004260005998730776,7,uniform,0,1
