method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant,model
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,12,500,0.5,False,False,False,0.0,0.03848598500007938,120,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,13,500,0.5,True,True,False,0.5,0.0035704520014405716,6,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,13,500,0.5,True,True,False,0.5,0.003199993001544499,5,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,13,500,0.5,True,True,False,0.5,0.0032163920004677493,5,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,14,500,0.5,True,True,False,0.5,0.0032183639996219426,5,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,14,500,0.5,True,True,False,0.5,0.0029287550005392404,4,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,14,500,0.5,True,True,False,0.5,0.002917507001257036,4,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,15,500,0.5,True,True,False,0.5,0.005061761999968439,11,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,15,500,0.5,True,True,False,0.5,0.0038154910016601207,7,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,15,500,0.5,True,True,False,0.5,0.0038272900001175003,7,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,16,500,0.5,True,True,False,0.5,0.004458936000446556,9,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,16,500,0.5,True,True,False,0.5,0.0038205799992283573,7,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,16,500,0.5,True,True,False,0.5,0.0038328809987433488,7,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,17,500,0.5,True,True,False,0.5,0.004435030999957235,9,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,17,500,0.5,True,True,False,0.5,0.0038187320005818037,7,aware-same-rate,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,17,500,0.5,True,True,False,0.5,0.0038166960002854466,7,aware-pipeline,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,18,500,0.5,True,True,False,0.5,0.004438109999682638,9,uniform,depolarizing
LDPC,1000,6%,0.0638705035971223,0.06287769784172662,18,500,0.5,True,True,False,0.5,0.0038159679988893913,7,aware-same-rate,depolarizing
