method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant
LDPC,1000,10%,0.10286,0.1052,6,600,0.6,True,True,False,0.4,0.02285470000060741,7,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,7,600,0.6,True,True,False,0.4,0.02164469999843277,6,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,8,600,0.6,True,True,False,0.4,0.0546758000018599,20,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,9,600,0.6,True,True,False,0.4,0.03279430000111461,10,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,10,600,0.6,True,True,False,0.4,0.024264300001959782,7,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,11,600,0.6,True,True,False,0.4,0.020530400001007365,5,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,12,600,0.6,True,True,False,0.4,0.02191750000201864,7,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,13,600,0.6,True,True,False,0.4,0.02051469999787514,6,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,14,600,0.6,True,True,False,0.4,0.02517929999885382,8,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,15,600,0.6,True,True,False,0.4,0.03970419999677688,16,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,16,600,0.6,True,True,False,0.4,0.022538299999723677,6,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,17,600,0.6,True,True,False,0.4,0.021432800000184216,5,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,18,600,0.6,True,True,False,0.4,0.03933299999698647,13,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,19,600,0.6,True,True,False,0.4,0.04690839999966556,17,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,20,600,0.6,True,True,False,0.4,0.07647069999802625,29,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,21,600,0.6,True,True,False,0.4,0.021551000001636567,7,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,22,600,0.6,True,True,False,0.4,0.02761060000193538,8,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,23,600,0.6,True,True,False,0.4,0.03417769999941811,11,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,24,600,0.6,True,True,False,0.4,0.03299159999733092,11,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,25,600,0.6,True,True,False,0.4,0.026741699999547563,8,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,26,600,0.6,True,True,False,0.4,0.03756260000227485,12,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,27,600,0.6,True,True,False,0.4,0.03540140000040992,12,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,28,600,0.6,True,True,False,0.4,0.030482399997708853,10,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,29,600,0.6,True,True,False,0.4,0.02230480000071111,7,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,30,600,0.6,False,False,False,0.0,0.2814116000008653,120,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,31,600,0.6,True,True,False,0.4,0.09045659999901545,37,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,32,600,0.6,True,True,False,0.4,0.02885009999954491,10,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,33,600,0.6,True,True,False,0.4,0.03538320000006934,11,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,34,600,0.6,True,True,False,0.4,0.03286920000027749,11,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,35,600,0.6,True,True,False,0.4,0.042632500000763685,14,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,36,600,0.6,True,True,False,0.4,0.030804300000454532,9,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,37,600,0.6,True,True,False,0.4,0.04174570000031963,14,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,38,600,0.6,True,True,False,0.4,0.07116429999950924,24,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,39,600,0.6,True,True,False,0.4,0.02000649999899906,6,aware (10% sample)
LDPC,1000,10%,0.10286,0.1052,0,600,0.6,True,True,False,0.4,0.029778499996609753,9,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,1,600,0.6,True,True,False,0.4,0.08236620000025141,34,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,2,600,0.6,True,True,False,0.4,0.027169799999683164,9,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,3,600,0.6,True,True,False,0.4,0.02391410000200267,9,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,4,600,0.6,True,True,False,0.4,0.017091900001105387,5,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,5,600,0.6,True,True,False,0.4,0.046383099997910904,16,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,6,600,0.6,True,True,False,0.4,0.022095699998317286,7,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,7,600,0.6,True,True,False,0.4,0.021536600001127226,6,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,8,600,0.6,True,True,False,0.4,0.048231100001430605,19,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,9,600,0.6,True,True,False,0.4,0.030663899997307453,12,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,10,600,0.6,True,True,False,0.4,0.019754299999476643,7,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,11,600,0.6,True,True,False,0.4,0.01562470000135363,5,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,12,600,0.6,True,True,False,0.4,0.019563499998184852,7,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,13,600,0.6,True,True,False,0.4,0.0169729000008374,5,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,14,600,0.6,True,True,False,0.4,0.022357600002578693,8,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,15,600,0.6,True,True,False,0.4,0.04424410000137868,17,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,16,600,0.6,True,True,False,0.4,0.019018900002265582,6,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,17,600,0.6,True,True,False,0.4,0.019142000001011183,6,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,18,600,0.6,True,True,False,0.4,0.042644699999073055,14,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,19,600,0.6,True,True,False,0.4,0.040948800000478514,17,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,20,600,0.6,True,True,False,0.4,0.06985609999901499,30,aware (5% sample)
LDPC,1000,10%,0.10286,0.1052,21,600,0.6,True,True,False,0.4,0.019771399998717243,7,aware (5% sample)
