method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,budget
GRAND,16,1%,0.009229349330872173,0.009615384615384616,0,16,1.0,True,True,False,0.0,1.2450000212993473e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,0,16,1.0,True,True,False,0.0,1.2122000043746084e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,0,16,1.0,True,True,False,0.0,1.0971999472531024e-05,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,1,16,1.0,True,True,False,0.0,1.1502000234031584e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,1,16,1.0,True,True,False,0.0,1.130599957832601e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,1,16,1.0,True,True,False,0.0,1.0445000043546315e-05,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,2,16,1.0,True,True,False,0.0,1.5825999980734196e-05,4,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,2,16,1.0,True,True,False,0.0,1.3864999345969409e-05,4,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,2,16,1.0,True,True,False,0.0,1.2618000255315565e-05,4,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,3,16,1.0,True,True,False,0.0,1.1545999768713955e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,3,16,1.0,True,True,False,0.0,1.0618000487738755e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,3,16,1.0,True,True,False,0.0,1.0155000381928403e-05,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,4,16,1.0,True,True,False,0.0,1.0726999789767433e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,4,16,1.0,True,True,False,0.0,1.0155999916605651e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,4,16,1.0,True,True,False,0.0,9.753000085765962e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,5,16,1.0,True,True,False,0.0,2.1916999685345218e-05,21,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,5,16,1.0,True,True,False,0.0,2.1099000150570646e-05,21,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,5,16,1.0,True,True,False,0.0,1.9037999663851224e-05,21,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,6,16,1.0,True,True,False,0.0,1.10119999590097e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,6,16,1.0,True,True,False,0.0,1.0517000191612169e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,6,16,1.0,True,True,False,0.0,1.0081999789690599e-05,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,7,16,1.0,True,True,False,0.0,1.583700031915214e-05,8,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,7,16,1.0,True,True,False,0.0,1.4502999874821398e-05,8,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,7,16,1.0,True,True,False,0.0,1.343400072073564e-05,8,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,8,16,1.0,True,True,False,0.0,1.0527000085858162e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,8,16,1.0,True,True,False,0.0,1.0458999895490706e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,8,16,1.0,True,True,False,0.0,9.964000128093176e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,9,16,1.0,True,True,False,0.0,1.0511000255064573e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,9,16,1.0,True,True,False,0.0,9.97200004348997e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,9,16,1.0,True,True,False,0.0,9.974000022339169e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,10,16,1.0,True,True,False,0.0,1.0566000128164887e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,10,16,1.0,True,True,False,0.0,1.0257999747409485e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,10,16,1.0,True,True,False,0.0,9.944000339601189e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,11,16,1.0,True,True,False,0.0,1.0347000170440879e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,11,16,1.0,True,True,False,0.0,9.972999578167219e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,11,16,1.0,True,True,False,0.0,1.0015999578172341e-05,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,12,16,1.0,True,True,False,0.0,1.0712999937823042e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,12,16,1.0,True,True,False,0.0,1.0263000149279833e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,12,16,1.0,True,True,False,0.0,1.0020999980042689e-05,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,13,16,1.0,True,True,False,0.0,1.1301000085950363e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,13,16,1.0,True,True,False,0.0,1.0371000826125965e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,13,16,1.0,True,True,False,0.0,9.929000043484848e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,14,16,1.0,True,True,False,0.0,1.088699991669273e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,14,16,1.0,True,True,False,0.0,9.935999514709692e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,14,16,1.0,True,True,False,0.0,1.0056000064651016e-05,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,15,16,1.0,True,True,False,0.0,1.0456000381964259e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,15,16,1.0,True,True,False,0.0,9.557000339555088e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,15,16,1.0,True,True,False,0.0,9.718000001157634e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,16,16,1.0,True,True,False,0.0,1.0258000656904187e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,16,16,1.0,True,True,False,0.0,9.876000149233732e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,16,16,1.0,True,True,False,0.0,9.52500067796791e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,17,16,1.0,True,True,False,0.0,1.0939000276266597e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,17,16,1.0,True,True,False,0.0,1.025300025503384e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,17,16,1.0,True,True,False,0.0,9.811000381887425e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,18,16,1.0,True,True,False,0.0,1.8691999684961047e-05,16,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,18,16,1.0,True,True,False,0.0,1.757600057317177e-05,16,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,18,16,1.0,True,True,False,0.0,1.6725999557820614e-05,16,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,19,16,1.0,True,True,False,0.0,1.0591000318527222e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,19,16,1.0,True,True,False,0.0,9.934000445355196e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,19,16,1.0,True,True,False,0.0,9.934999980032444e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,20,16,1.0,True,True,False,0.0,1.040600000123959e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,20,16,1.0,True,True,False,0.0,1.0015999578172341e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,20,16,1.0,True,True,False,0.0,9.825999768509064e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,21,16,1.0,True,True,False,0.0,1.0329999895475339e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,21,16,1.0,True,True,False,0.0,1.0177999683946837e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,21,16,1.0,True,True,False,0.0,9.718000001157634e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,22,16,1.0,True,True,False,0.0,1.2931999663123861e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,22,16,1.0,True,True,False,0.0,1.1622000783972908e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,22,16,1.0,True,True,False,0.0,1.110800076276064e-05,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,23,16,1.0,True,True,False,0.0,1.037700076267356e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,23,16,1.0,True,True,False,0.0,9.882000085781328e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,23,16,1.0,True,True,False,0.0,9.804000001167879e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,24,16,1.0,True,True,False,0.0,1.0355000085837673e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,24,16,1.0,True,True,False,0.0,1.0089000170410145e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,24,16,1.0,True,True,False,0.0,1.001900000119349e-05,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,25,16,1.0,True,True,False,0.0,1.368100038234843e-05,4,10000
