method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant,scheme
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,13,500,0.5,True,True,False,0.5,0.009475099999690428,3,uniform,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,13,500,0.5,True,True,False,0.5,0.012003600000753067,4,aware-same-rate,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,13,500,0.5,True,True,False,0.5,0.014217699997971067,4,aware-pipeline,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,14,500,0.5,True,True,False,0.5,0.0158938999993552,6,uniform,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,14,500,0.5,True,True,False,0.5,0.014854900000500493,5,aware-same-rate,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,14,500,0.5,True,True,False,0.5,0.013770500001555774,5,aware-pipeline,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,15,500,0.5,True,True,False,0.5,0.01816569999937201,7,uniform,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,15,500,0.5,True,True,False,0.5,0.01562719999856199,6,aware-same-rate,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,15,500,0.5,True,True,False,0.5,0.0158889000013005,6,aware-pipeline,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,16,500,0.5,True,True,False,0.5,0.018519499997637467,6,uniform,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,16,500,0.5,True,True,False,0.5,0.018800800000462914,5,aware-same-rate,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,16,500,0.5,True,True,False,0.5,0.0178583000015351,5,aware-pipeline,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,17,500,0.5,True,True,False,0.5,0.017375899999024114,5,uniform,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,17,500,0.5,True,True,False,0.5,0.019807699998636963,5,aware-same-rate,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,17,500,0.5,True,True,False,0.5,0.015509900000324706,5,aware-pipeline,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,18,500,0.5,True,True,False,0.5,0.021866200000658864,8,uniform,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,18,500,0.5,True,True,False,0.5,0.025006100000609877,6,aware-same-rate,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,18,500,0.5,True,True,False,0.5,0.02430070000264095,6,aware-pipeline,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,19,500,0.5,True,True,False,0.5,0.02661690000240924,9,uniform,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,19,500,0.5,True,True,False,0.5,0.02598790000047302,7,aware-same-rate,baseline
LDPC,1000,6%,0.060783548093192766,0.06686291000841042,19,500,0.5,True,True,False,0.5,0.0277033999991545,7,aware-pipeline,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,0,600,0.6,True,True,False,0.4,0.03237500000250293,11,uniform,baseline
LDPC,1000,10%,0.09644930010242403,0.09983429991714995,0,600,0.6,True,True,False,0.4,0.03244510000149603,10,aware-same-rate,baseline
